#	Temperature (K)	   Magnetization		C_v	
    426.780869974657      0.033162934626	0.860760570768E+00
    428.872884040063      0.032416115336	0.864416148800E+00
    430.964898105469      0.031646014478	0.842038958071E+00
    433.056912170874      0.031420580704	0.843684915621E+00
    435.148926236280      0.031708729964	0.833072582912E+00
    437.240940301686      0.031198969293	0.827379015773E+00
    439.332954367092      0.031061073349	0.823887733824E+00
    441.424968432498      0.030556610688	0.814380354844E+00
    443.516982497904      0.029615514581	0.815828579117E+00
    445.608996563310      0.029187092562	0.828365911270E+00
    447.701010628716      0.029388205554	0.811831149133E+00
    449.793024694122      0.029193352199	0.810697616076E+00
    451.885038759528      0.028645328940	0.805453562304E+00
    453.977052824934      0.028838308381	0.791472320584E+00
    456.069066890340      0.028084310134	0.790034783332E+00
    458.161080955745      0.027739257728	0.795819305058E+00
    460.253095021151      0.027938432811	0.780213275663E+00
    462.345109086557      0.027557132628	0.790119814668E+00
    464.437123151963      0.026873951903	0.777035666014E+00
    466.529137217369      0.026641533714	0.770138538576E+00
    468.621151282775      0.026775107862	0.780931835846E+00
    470.713165348181      0.026414861060	0.762391548129E+00
    472.805179413587      0.026029156406	0.761393680160E+00
    474.897193478993      0.025845911740	0.754775258517E+00
    476.989207544399      0.025936464278	0.752622218314E+00
    479.081221609805      0.025619338914	0.744151690523E+00
    481.173235675211      0.025281223974	0.744625183075E+00
    483.265249740617      0.025270701793	0.751967349177E+00
    485.357263806022      0.025143429415	0.736864870551E+00
    487.449277871428      0.024547811027	0.743774942482E+00
    489.541291936834      0.024404159309	0.726349428649E+00
    491.633306002240      0.024517286904	0.722414436799E+00
    493.725320067646      0.024103950437	0.738540749409E+00
    495.817334133052      0.023788853019	0.725695235555E+00
    497.909348198458      0.023821787766	0.711882059530E+00
    500.001362263864      0.023736307108	0.720016182001E+00
